idiom,% Lit.,Literalness,% Fig.,Familiarity,Mean Frequency,,Literal_highest_key_%,Literal_highest_value_%,Literal_highest_key_ness,Literal_highest_value_ness
ace in the hole,89.5,3.2,85.7,3,6462.2,,get to first base,105.6,open the door,1.6
across the board,94.7,3.8,94.4,3.3,1652,,in deep water,105.6,black and white,1.7
add fuel to the flame,94.7,4.1,100,3.4,6141.2,,along for the ride,100,have his hands full,2.1
against the grain,83.3,3.1,89.5,3.4,1696,,bend over backwards,100,see stars,2.2
along for the ride,100,2.6,100,2.2,3582,,big mouth,100,tie in knots,2.2
at the tip of his tongue,94.7,2.8,100,1.4,8879.7,,break the ice,100,wear the pants,2.2
back against the wall,89.5,2.8,85.7,2.7,1547,,come clean,100,get the message,2.3
ball of fire,84.2,4,94.4,3.2,12236,,cross his fingers,100,out of line,2.3
bark up the wrong tree,94.7,3.6,90.5,3.2,1306.4,,cut his throat,100,pain in the neck,2.3
bend over backwards,100,3.3,100,2.1,420.7,,draw blood,100,big mouth,2.4
big head,94.7,2.8,100,2.1,392,,end of the line,100,draw blood,2.4
big mouth,100,2.4,100,2.2,231.5,,get the message,100,end of the road,2.4
birthday suit,89.5,3.5,94.4,1.7,33,,go fly a kite,100,go straight,2.4
bite off more than he  can chew,94.7,3.6,100,2.7,2281.6,,go jump in the lake,100,open his eyes,2.4
bite your tongue,89.5,2.5,95.2,1.8,322.7,,go off the deep end,100,bite your tongue,2.5
black and white,94.7,1.7,95.2,2.5,9806.7,,go straight,100,leave a bad taste in his  mouth,2.5
blow his own horn,78.9,3.9,88.9,2.7,1958.2,,hit the ceiling,100,on the road,2.5
blow the whistle on,89.5,3.4,88.9,3.3,2803.5,,in hot water,100,over his head,2.5
bone to pick,94.7,3.2,100,2.6,8745.7,,in the bag,100,take his medicine,2.5
born yesterday,94.7,3.1,100,2.5,98,,keep his shirt on,100,along for the ride,2.6
break the ice,100,2.8,100,2.1,1522.7,,knock him off his feet,100,burn out,2.6
breathe down his neck,94.7,3.4,94.4,2,1995,,leave a bad taste in his  mouth,100,cross his fingers,2.6
bring home the bacon,94.7,3.5,100,2.4,450,,let off the hook,100,get off the ground,2.6
bring to light,79,3.9,76.2,3.3,8880,,lose his grip,100,go to town,2.6
buckle down,89.5,3.1,100,2.4,450,,make his mouth water,100,in black and white,2.6
burn a hole in his pocket,94.7,3.8,85.7,2.7,8615.7,,on the rocks,100,in deep water,2.6
burn out,89.5,2.6,94.4,2,1055.5,,open his eyes,100,in the bag,2.6
bury his head in the  sand,83.3,3.9,94.7,3.1,5538.5,,open the door,100,on the rocks,2.6
bury the hatchet,84.2,4.3,94.4,2.6,1481.7,,out in left field,100,roll up his sleeves,2.6
card up his sleeve,94.4,3.9,94.7,2.6,2232.2,,out in the cold,100,cup of tea,2.7
carry a torch,78.9,4,83.3,3.3,7775.7,,pain in the neck,100,get off it,2.7
catch him with his  pants down,94.7,3.9,94.4,2.8,2975.3,,pull out of a hat,100,hit the spot,2.7
chew the fat,84.2,4,85.7,3.2,1499,,pulling teeth,100,lose his grip,2.7
chicken feed,88.9,3.9,94.7,3.9,80,,put his foot down,100,make his mouth water,2.7
clean slate,83.3,3.3,100,2.4,40,,rock the boat,100,middle of the road,2.7
climb the walls,83.3,3.7,100,2.7,1482.3,,run into a brick wall,100,pull his leg,2.7
clip his wings,94.7,3.8,76.2,4.1,2334.3,,scratch his back,100,scratch his back,2.7
coast is clear,83.3,3.6,100,1.6,3459.7,,scratch the surface,100,stab in the back,2.7
come clean,100,3.3,90.5,2.7,350,,shoe on the other foot,100,take note of,2.7
come down to earth,89.5,3.6,95.2,3,6956,,stand on his own two feet,100,at the tip of his tongue,2.8
cough up,88.9,3,84.2,2.4,951,,take for a ride,100,back against the wall,2.8
cover his tracks,88.9,3.4,100,2.4,2361.7,,take his medicine,100,big head,2.8
cross his fingers,100,2.6,94.4,1.8,2350.7,,take the cake,100,break the ice,2.8
cup of tea,94.7,2.7,95.2,3,12161.3,,three ring circus,100,get sacked,2.8
cut down to size,77.8,3.6,100,2.7,6843.5,,throw up his hands,100,get to first base,2.8
cut his throat,100,3.7,83.3,3.1,2413.3,,turn the tables,100,give a hand,2.8
cut to the bone,78.9,3.9,83.3,3.8,7702.2,,twist his arm,100,have a ball,2.8
dead duck,88.9,3.4,100,2.1,91.5,,across the board,94.7,out in left field,2.8
dirty his hands,94.7,3.4,81,3.6,2344.3,,add fuel to the flame,94.7,play with fire,2.8
dose of his own medicine,83.3,3.7,100,1.8,8844.2,,at the tip of his tongue,94.7,see the light of day,2.8
down his alley,84.2,3.9,94.4,2.8,2633.3,,bark up the wrong tree,94.7,step on his toes,2.8
down the line,77.8,3.3,84.2,2.9,1876,,big head,94.7,take for a ride,2.8
draw blood,100,2.4,94.7,3.1,88.5,,bite off more than he  can chew,94.7,three ring circus,2.8
draw the line,94.7,2.9,100,1.6,1596.3,,black and white,94.7,under the counter,2.8
eat like a bird,84.2,3.3,100,2.3,6154.7,,bone to pick,94.7,draw the line,2.9
eat like a horse,89.5,3.2,94.4,2.1,6176.2,,born yesterday,94.7,end of the line,2.9
eat out of one's hand,94.7,4.1,94.4,2.9,7799.8,,breathe down his neck,94.7,facts of life,2.9
end of the line,100,2.9,100,2.9,10388.5,,bring home the bacon,94.7,feet on the ground,2.9
end of the road,89.5,2.4,95.2,2.7,10363.2,,burn a hole in his pocket,94.7,go under,2.9
face the music,78.9,4,100,3,1674,,catch him with his  pants down,94.7,hit below the belt,2.9
facts of life,94.4,2.9,100,2.1,12375.3,,clip his wings,94.7,on the nose,2.9
fall by the wayside,84.2,3.9,83.3,3.7,2472.2,,cup of tea,94.7,out in the cold,2.9
fall down on the job,89.5,3.7,88.9,3.8,2491.4,,dirty his hands,94.7,stand on his own two feet,2.9
feel in his bones,83.3,4.1,84.2,3.8,7138.5,,draw the line,94.7,tighten his belt,2.9
feet on the ground,94.7,2.9,95.2,2.5,2911.5,,eat out of one's hand,94.7,cough up,3
fish out of water,84.2,3,90.5,2.9,9746,,feet on the ground,94.7,fish out of water,3
foam at the mouth,89.5,3.5,95.2,3.6,2488.2,,get off it,94.7,get away with murder,3
follow his nose,84.2,3.7,100,3.3,2384.7,,go to town,94.7,go jump in the lake,3
from the ground up,84.2,3.1,94.4,3.1,2721.2,,have a ball,94.7,hold the line,3
get away with murder,78.9,3,100,2.6,2142.5,,have a screw loose,94.7,in hot water,3
get down off your  high horse,77.8,3.9,100,2.7,636.8,,have his hands full,94.7,let off steam,3
get his feet wet,84.2,3.1,100,3.1,2020.7,,have his hands tied,94.7,looking for a needle in  a haystack,3
get his goat,77.8,4.5,89.5,3.5,2584.3,,head above water,94.7,turn the tables,3
get off it,94.7,2.7,94.4,2.9,3381.7,,hit the sack,94.7,against the grain,3.1
get off on the wrong  foot,84.2,3.5,100,2.4,2127.5,,hit the spot,94.7,born yesterday,3.1
get off the ground,83.3,2.6,94.7,3.2,1502.5,,honeymoon is over,94.7,buckle down,3.1
get off the hook,78.9,3.2,100,1.7,1457.2,,if the shoe fits,94.7,from the ground up,3.1
get sacked,89.5,2.8,81,3.4,375,,in a fog,94.7,get his feet wet,3.1
get the ball rolling,89.5,3.4,100,2.1,1328.5,,keep the ball rolling,94.7,hit the sack,3.1
get the message,100,2.3,100,1.9,1749.7,,let his hair down,94.7,keep his shirt on,3.1
get to first base,105.6,2.8,94.7,2.4,7087.5,,middle of the road,94.7,kick the bucket,3.1
give a buzz,84.2,3.4,83.3,2.9,7880.3,,on the other hand,94.7,knock him off his feet,3.1
give a hand,89.5,2.8,100,2.3,8019.7,,out of hand,94.7,land on his feet,3.1
give the shirt off  his back,83.3,3.6,89.5,1.9,2242.7,,out of line,94.7,on the other hand,3.1
go fly a kite,100,3.2,100,2.8,5974,,over his head,94.7,out of circulation,3.1
go jump in the lake,100,3,100,2.8,5296,,pull his leg,94.7,pulling teeth,3.1
go off the deep end,100,3.4,100,2.8,1243.8,,pull the wool over his  eyes,94.7,put his foot down,3.1
go straight,100,2.4,83.3,3.3,370,,raise eyebrows,94.7,raise eyebrows,3.1
go to town,94.7,2.6,85.7,2.7,8995.7,,roll up his sleeves,94.7,rock the boat,3.1
go under,84.2,2.9,88.9,3.1,666.5,,sit on his hands,94.7,shot in the arm,3.1
green thumb,77.8,4.4,100,2.3,63,,slip through his fingers,94.7,slip through his fingers,3.1
hair stands on end,89.5,3.2,95.2,3.3,1825,,stab in the back,94.7,take a back seat,3.1
hard nut to crack,84.2,3.7,94.4,4,6596.7,,tie in knots,94.7,up the creek,3.1
have a ball,94.7,2.8,95.2,2.2,9096,,under the counter,94.7,ace in the hole,3.2
have a screw loose,94.7,3.2,94.4,2.5,6813,,up the creek without a  paddle,94.7,bone to pick,3.2
have all his marbles,89.5,3.3,100,2.9,3484.7,,card up his sleeve,94.4,eat like a horse,3.2
have his hands full,94.7,2.1,100,2.3,2792,,facts of life,94.4,get off the hook,3.2
have his hands tied,94.7,3.2,90.5,2.7,2734.5,,hit below the belt,94.4,go fly a kite,3.2
head above water,94.7,3.2,88.9,3.4,387.3,,on the nose,94.4,hair stands on end,3.2
hit below the belt,94.4,2.9,94.7,2.4,1181,,play with fire,94.4,have a screw loose,3.2
hit the ceiling,100,3.2,100,3.1,1527,,pull the rug out from  under,94.4,have his hands tied,3.2
hit the hay,78.9,3.8,94.4,2.7,1523,,see stars,94.4,head above water,3.2
hit the nail on the head,89.5,3.4,100,2.9,2692.8,,spill the beans,94.4,hit the ceiling,3.2
hit the road,78.9,3.3,94.4,2.3,1582.3,,take a back seat,94.4,if the shoe fits,3.2
hit the sack,94.7,3.1,94.4,2.1,1519.3,,up a tree,94.4,know enough to come  out of the rain,3.2
hit the spot,94.7,2.7,94.4,1.1,1535.7,,wear the pants,94.4,lay an egg,3.2
hold a candle to,77.8,3.7,89.5,3.2,12393.2,,ace in the hole,89.5,let off the hook,3.2
hold his horses,89.5,3.6,100,2.8,2388.7,,back against the wall,89.5,lose his head,3.2
hold his tongue,89.5,3.7,88.9,3.5,2400.3,,birthday suit,89.5,out of hand,3.2
hold the line,84.2,3,76.2,4.2,1634,,bite your tongue,89.5,scratch the surface,3.2
